"","species","report","mean","loHPDI","hiHDPI"
"52","Hare - Snowshoe",11,10.80623476,6.88739,14.24
"53","Muskrat",31,31.82093,20.4431,40.6574
"54","Hare - Snowshoe",12,12.12806566,7.44186,16.5991
"55","Beaver",1,1.0496563,0.690145,1.40616
"56","Muskrat",30,30.7131676,19.4701,40.4859
"57","Beaver",12,12.30602854,7.89308,16.2582
"58","Hare - Snowshoe",8,8.01862492,5.42771,10.6409
"59","Hare - Snowshoe",6,6.0573627,4.028,8.02473
"60","Muskrat",6,6.31840562,3.93667,8.1317
"61","Hare - Snowshoe",6,6.15206304,4.27728,8.2568
"62","Hare - Snowshoe",2,2.050874662,1.42662,2.74248
"63","Ptarmigan - Willow",2,2.0893107,1.3934,2.78925
"64","Goose - Snow",5,5.16848744,3.23042,6.8161
"65","Muskrat",7,7.3345547,4.88754,9.72589
"66","Hare - Snowshoe",3,3.07995806,1.99359,3.99478
"67","Hare - Snowshoe",27,26.4086122,16.5309,35.1135
"68","Muskox",1,1.067244308,0.76214,1.40494
"69","Ptarmigan - Willow",27,26.2870702,17.8501,34.9545
"70","Hare - Snowshoe",2,2.0709016,1.44969,2.7556
"71","Hare - Snowshoe",28,27.1763694,17.9658,35.7333
"72","Ptarmigan - Willow",7,7.04144118,4.63843,8.89506
"73","Muskox",1,1.055548862,0.67056,1.38732
"74","Goose - Snow",2,2.08939034,1.34545,2.72375
"75","Goose - Snow",13,13.14184156,8.48565,17.3555
"76","Goose - Snow",6,6.19681196,3.74358,8.51886
"77","Goose - Greater White",1,1.063102638,0.703174,1.37138
"78","Muskrat",12,12.32270592,8.54795,16.5425
"79","Beaver",22,22.3108664,14.77,29.4135
"80","Goose - Snow",50,50.3075716,33.3321,67.4001
"81","Goose - Canada",30,29.6413128,19.1349,39.1618
"82","Goose - Snow",4,4.1373527,2.71192,5.41462
"83","Goose - Greater White",5,5.09905296,3.4307,6.85389
"84","Mallard",15,15.03251468,9.84208,20.1067
"85","Wigeon - American",5,5.12524972,3.20811,6.49235
"86","Swan - Trumpeter",2,1.99770556,1.36709,2.68567
"87","Goose - Greater White",2,2.10830968,1.46057,2.89151
"88","Goose - Snow",20,20.1159974,12.9316,27.5508
"89","Goose - Greater White",20,20.4338526,12.5261,28.1122
"90","Goose - Snow",130,129.1942028,88.267,176.15
"91","Goose - Greater White",50,50.1362326,32.4307,67.3018
"92","Goose - Canada",20,20.2181604,14.2695,27.3275
"93","Goose - Snow",15,15.14033556,10.0824,19.742
"94","Goose - Greater White",15,15.03008666,10.2861,19.992
"95","Goose - Canada",15,15.32847174,10.0761,20.5367
"96","Beaver",17,16.915779,11.0082,22.4394
"97","Goose - Snow",10,10.24352326,7.08179,13.6492
"98","Goose - Greater White",15,15.46563318,9.85044,20.5871
"99","Goose - Canada",10,10.16187158,6.94812,13.5632
"100","Muskrat",22,22.2738062,14.7389,29.7781
"101","Goose - Greater White",5,5.19918762,3.51001,6.85249
"102","Goose - Snow",3,3.10100216,1.9904,4.13471
"103","Beaver",11,11.24406766,7.3597,14.5655
"104","Goose - Snow",15,15.32791136,9.9641,19.7151
"105","Goose - Greater White",5,5.17561918,3.29911,6.79699
"106","Goose - Snow",15,15.12804914,10.2348,19.674
"107","Goose - Greater White",10,10.28675152,6.47986,12.9558
"108","Muskrat",32,32.279127,22.4845,44.4641
"109","Beaver",29,28.94248,19.5808,39.0171
"110","Mallard",6,6.15863562,3.8725,8.11689
"111","Duck - Unknown",2,2.08863042,1.33706,2.83406
"112","Hare - Snowshoe",3,3.08015948,1.96446,3.9524
"113","Goose - Greater White",15,15.16311112,10.1592,20.7866
"114","Goose - Snow",25,25.1828376,16.1048,33.2823
"115","Goose - Canada",5,5.12238132,3.37218,6.68567
"116","Beaver",37,37.427872,24.9771,48.7226
"117","Muskrat",57,56.6257572,40.3006,77.4192
"118","Mallard",20,19.45302222,13.2537,26.589
"119","Wigeon - American",5,5.0126258,3.22596,6.66952
"120","Canvasback",5,5.06946342,3.14357,6.85811
"121","Goose - Snow",10,10.20436678,6.76472,13.1211
"122","Goose - Snow",50,50.4117806,33.7009,69.2322
"123","Swan - Tundra",2,2.00581808,1.31272,2.63993
"124","Mallard",10,10.0592489,6.53448,13.3106
"125","Duck - Unknown",2,2.0949381,1.52741,2.80563
"126","Beaver",6,6.10832212,4.27,8.44094
"127","Goose - Greater White",20,20.6395806,13.6964,28.2855
"128","Goose - Snow",20,20.19560594,13.951,27.5032
"129","Muskrat",81,80.3878808,54.3654,108.559
"130","Beaver",31,31.1354402,21.0352,42.1477
"131","Goose - Snow",32,32.4991348,20.9621,42.9986
"132","Goose - Greater White",55,55.0979358,35.2559,71.4151
"133","Goose - Canada",13,13.51528528,8.85873,18.7336
"134","Beaver",56,54.88907,34.1991,71.8011
"135","Muskox",1,1.070460144,0.698859,1.39197
"136","Goose - Snow",60,59.3366388,39.5653,78.8187
"137","Goose - Greater White",25,25.175073,16.7959,33.1791
"138","Goose - Canada",10,10.24744956,6.96441,13.2835
"139","Muskrat",25,25.1936216,17.6384,34.4748
"140","Beaver",45,45.3248058,30.3536,58.4263
"141","Mallard",6,6.08601706,4.02458,8.27276
"142","Wigeon - American",6,6.04813334,4.00684,7.79086
"143","Goose - Snow",150,147.7768294,96.6192,195.21
"144","Goose - Canada",25,25.250937,16.6623,33.7418
"145","Goose - Greater White",75,74.9878194,51.682,101.508
"146","Goose - Snow",45,45.3236268,30.2897,60.3003
"147","Goose - Greater White",10,10.31511248,6.59522,13.8496
"148","Goose - Canada",-1,22.803684832,0.444855,57.2033
"149","Ptarmigan - Willow",4,4.10790728,2.59055,5.35796
"150","Beaver",20,20.01202416,13.1726,27.1429
"151","Goose - Snow",15,15.29731764,9.87301,20.6789
"152","Goose - Greater White",15,15.20840342,10.3651,20.5068
"153","Goose - Canada",15,15.20878196,9.81475,19.6568
"154","Goose - Snow",50,49.3831708,31.1184,63.6792
"155","Goose - Greater White",50,49.7161662,33.4751,65.5469
"156","Goose - Canada",50,50.033299,32.6317,67.011
"157","Beaver",2,2.083703416,1.3337,2.81477
"158","Muskrat",3,3.13590404,2.16976,4.24336
"159","Muskrat",165,165.7565246,100.9,216.761
"160","Beaver",15,15.1469327,11.0867,20.4107
"161","Beaver",6,6.14414752,3.96952,8.0654
"162","Beaver",17,16.98102288,10.1838,21.4119
"163","Goose - Snow",1,1.07697145,0.69367,1.42295
"164","Goose - Greater White",5,5.11728612,3.66275,6.9281
"165","Caribou - Porcupine",6,5.88624236,4.00995,7.95359
"166","Beaver",10,10.33661496,6.84943,13.7139
"167","Beaver",25,25.1195408,17.5422,33.2175
"168","Duck - Unknown",4,4.07651526,2.78574,5.43453
"169","Wigeon - American",1,1.038658174,0.664763,1.37842
"170","Goose - Canada",6,6.28572222,4.03547,8.30773
"171","Goose - Snow",3,3.06943222,1.98624,3.97158
"172","Muskrat",33,33.3749346,22.4584,43.4495
"173","Beaver",14,14.09627628,9.01451,18.0471
"174","Muskrat",77,77.9974382,50.0735,99.2951
"175","Beaver",5,5.13435304,3.219,6.92671
"176","Muskrat",30,30.1597018,20.2846,40.0122
"177","Hare - Snowshoe",2,2.04292734,1.32258,2.67116
"178","Beaver",11,11.06595428,7.6815,14.8266
"179","Muskrat",11,11.31247884,7.77171,15.4245
"180","Beaver",7,7.1997002,4.87665,9.8803
"181","Mallard",15,14.99401144,9.61124,20.1948
"182","Wigeon - American",14,13.88089498,9.25205,18.6218
"183","Beaver",10,10.07035608,6.68168,13.0559
"184","Pike - Northern",12,11.97205436,7.67372,16.3145
"185","Beaver",13,13.01410292,8.66862,17.239
"186","Goose - Greater White",15,15.23638168,10.0153,20.2478
"187","Goose - Snow",15,15.23433726,9.92751,19.8884
"188","Wigeon - American",1,1.057705736,0.714758,1.4064
"189","Mallard",1,1.069572888,0.706921,1.42946
"190","Inconnu",1,1.048152876,0.69504,1.41187
"191","Beaver",5,5.15057404,3.59804,6.93524
"192","Muskrat",20,20.44483908,13.8345,27.0372
"193","Beaver",10,10.03446682,6.16732,12.7479
"194","Beaver",35,34.4562382,21.6469,43.8211
"195","Beaver",56,54.892253,35.8681,73.2589
"196","Mallard",12,11.93835294,8.55065,15.9198
"197","Mallard",3,3.12284642,2.0986,4.09599
"198","Wigeon - American",4,4.08720132,2.67168,5.33112
"199","Caribou - Porcupine",11,10.44770556,6.97462,14.1738
"200","Caribou - Porcupine",6,5.83659426,3.87385,7.79012
"201","Muskrat",33,33.1481854,20.6591,43.4211
"202","Whale - Beluga",1,1.054876222,0.757162,1.39415
"203","Caribou - Porcupine",1,1.055331962,0.724983,1.4159
"204","Char - Dolly Varden",1,1.06302406,0.674592,1.37497
"205","Cisco - Arctic",30,30.3461482,20.2329,40.1314
"206","Whale - Beluga",1,1.04965742,0.733488,1.37496
"207","Whale - Beluga",1,1.04831317,0.716243,1.41972
"208","Cisco - Arctic",80,80.3010394,52.3309,104.979
"209","Caribou - Porcupine",1,1.049014472,0.657788,1.35006
"210","Whale - Beluga",1,1.061510548,0.715048,1.4164
"211","Pike - Northern",2,2.0592686,1.36744,2.67195
"212","Whitefish - Broad",60,61.4115636,41.5182,83.0843
"213","Inconnu",30,30.5201964,20.8521,40.733
"214","Pike - Northern",10,9.90793458,6.64053,13.028
"215","Pike - Northern",8,8.02278554,5.13734,10.548
"216","Cisco - Arctic",200,200.802068,132.271,269.496
"217","Char - Dolly Varden",12,12.26270038,8.10442,16.4337
"218","Char - Dolly Varden",200,196.121904,132.094,258.268
"219","Caribou - Porcupine",10,9.56682194,5.82765,12.5835
"220","Caribou - Porcupine",3,3.0291335,1.96191,3.96504
"221","Caribou - Porcupine",2,2.065914568,1.28184,2.79593
"222","Char - Dolly Varden",1,1.057988814,0.664503,1.39266
"223","Caribou - Porcupine",1,1.054688222,0.765422,1.46656
"224","Cisco - Least",1,1.040431686,0.665221,1.36092
"225","Char - Dolly Varden",2,2.117078378,1.39169,2.86842
"226","Moose",1,1.049539878,0.743328,1.37122
"227","Caribou - Porcupine",1,1.059763548,0.724046,1.39534
"228","Beaver",5,5.1667124,3.13997,6.7506
"229","Inconnu",30,30.7216592,20.6937,41.1948
"230","Whitefish - Broad",20,20.265367,12.9049,26.0637
"231","Pike - Northern",5,5.08472786,3.31242,6.66368
"232","Caribou - Porcupine",6,5.78084966,3.91167,7.80103
"233","Caribou - Porcupine",4,4.00730394,2.34652,5.20797
"234","Whitefish - Broad",20,20.3721066,13.8199,27.3154
"235","Caribou - Porcupine",2,2.046954,1.33541,2.73387
"236","Caribou - Porcupine",1,1.050131014,0.743737,1.40093
"237","Inconnu",-1,42.276269386,0.120316,102.544
"238","Mallard",-1,8.02692207,0.359442,18.0387
"239","Moose",-1,1.150395832,0.538008,1.67133
"240","Hare - Snowshoe",17,16.83547832,11.4296,22.3438
"241","Caribou - Porcupine",2,2.03929548,1.31852,2.69215
"242","Inconnu",2,2.0765889,1.45524,2.74903
"243","Whitefish - Broad",40,40.9055932,26.4038,54.4508
"244","Hare - Snowshoe",7,7.04407852,4.24699,9.17761
"245","Whitefish - Broad",8,8.18732002,5.51716,10.8849
"246","Caribou - Porcupine",7,6.8224443,4.18388,8.85487
"247","Caribou - Porcupine",5,4.88857778,3.15724,6.46186
"248","Hare - Snowshoe",6,6.09939998,4.16008,8.44723
"249","Caribou - Porcupine",4,3.95963674,2.48293,5.25126
"250","Hare - Snowshoe",20,19.9406548,13.4631,26.4163
"251","Moose",1,1.04684009,0.73928,1.39408
"252","Hare - Snowshoe",5,5.05368022,3.52396,6.82802
"253","Wigeon - American",2,2.07576608,1.43242,2.75257
"254","Ptarmigan - Willow",2,2.10575018,1.37934,2.80217
"255","Caribou - Porcupine",2,2.03653404,1.35721,2.72012
"256","Whitefish - Broad",5,5.08190574,3.44428,7.04183
"257","Inconnu",10,10.21716554,7.24967,13.673
"258","Char - Dolly Varden",2,2.09316652,1.4565,2.75228
"259","Caribou - Porcupine",5,4.94606552,3.4534,7.02309
"260","Whitefish - Broad",20,20.2248124,13.3626,27.5939
"261","Inconnu",10,10.18416958,7.13205,13.6231
"262","Burbot",2,2.0938173,1.30763,2.67028
"263","Hare - Snowshoe",4,4.11442798,2.8129,5.46451
"264","Goose - Canada",2,2.09022742,1.44856,2.82038
"265","Caribou - Porcupine",5,4.89137252,3.00148,6.39933
"266","Caribou - Porcupine",5,4.93419822,3.26587,6.47888
"267","Caribou - Porcupine",1,1.052871176,0.660188,1.36224
"268","Caribou - Porcupine",2,2.04632,1.26108,2.70814
"269","Moose",1,1.0549665,0.667103,1.37207
"270","Caribou - Porcupine",8,7.67679692,5.45061,10.4392
"271","Hare - Snowshoe",20,20.0384198,13.309,25.8554
"272","Caribou - Porcupine",4,3.91276034,2.57363,5.16205
"273","Hare - Snowshoe",15,15.10692736,9.85485,20.2007
"274","Moose",1,1.048315202,0.701698,1.37392
"275","Inconnu",20,20.3458218,13.9786,26.5776
"276","Hare - Snowshoe",4,4.14891106,2.82745,5.58009
"277","Whitefish - Broad",30,30.4180204,19.254,40.6545
"278","Inconnu",15,15.3224754,10.0968,20.8672
"279","Hare - Snowshoe",6,6.03515552,3.78805,7.9573
"280","Caribou - Porcupine",8,7.70546312,5.30629,10.0384
"281","Hare - Snowshoe",17,16.8764724,11.3595,23.2063
"282","Mallard",4,4.11236106,2.73335,5.60458
"283","Goose - Canada",3,3.0793716,2.07812,4.06659
"284","Ptarmigan - Willow",6,5.99447254,4.16027,8.00899
"285","Inconnu",5,5.11382622,3.50188,7.00415
"286","Caribou - Porcupine",3,3.02779328,2.00217,3.91076
"287","Hare - Snowshoe",16,15.87703258,10.6993,21.1387
"288","Mallard",4,4.09778926,2.66952,5.42744
"289","Caribou - Porcupine",2,2.024257646,1.331,2.65475
"290","Caribou - Porcupine",2,2.05876126,1.42965,2.69274
"291","Inconnu",3,3.16384324,1.94015,4.05524
"292","Caribou - Porcupine",9,8.61719858,5.60485,11.3734
"293","Hare - Snowshoe",2,2.09283222,1.34961,2.79608
"294","Burbot",1,1.06488323,0.739137,1.44184
"295","Caribou - Porcupine",1,1.055466114,0.689935,1.3927
"296","Burbot",4,4.08497876,2.68491,5.40195
"297","Moose",1,1.037817336,0.734325,1.40115
"298","Burbot",2,2.0703765,1.43401,2.72065
"299","Caribou - Porcupine",4,3.972062,2.54525,5.25072
"300","Moose",1,1.045570316,0.716319,1.41851
"301","Caribou - Porcupine",2,2.0584577,1.4933,2.75567
"302","Wigeon - American",2,2.06677204,1.41617,2.82841
"303","Ptarmigan - Willow",1,1.057610664,0.726916,1.38135
"304","Caribou - Porcupine",1,1.041310802,0.748298,1.40708
"305","Caribou - Porcupine",2,2.06776608,1.3417,2.84676
"306","Caribou - Porcupine",7,6.80342932,4.73345,9.57038
"307","Caribou - Porcupine",4,3.9156291,2.63422,5.12204
"308","Burbot",7,7.21637868,4.77745,9.79569
"309","Burbot",15,15.11884824,9.45177,20.3041
"310","Burbot",8,8.13715782,5.11566,10.3672
"311","Burbot",15,15.00567902,9.93214,19.1742
"312","Inconnu",10,10.21901076,6.6995,13.7107
"313","Burbot",10,10.13000376,7.03077,13.5956
"314","Burbot",2,2.06243064,1.37263,2.71322
"315","Inconnu",15,15.30483628,10.6774,20.8345
"316","Inconnu",13,13.16094024,8.77477,16.7898
"317","Burbot",20,19.8531334,13.4778,26.6475
"318","Inconnu",2,2.05640712,1.42044,2.81372
"319","Burbot",7,7.10701622,4.86146,9.48636
"320","Burbot",2,2.08637306,1.42602,2.80018
"321","Pike - Northern",1,1.055922352,0.68113,1.38611
"322","Burbot",7,7.12954128,4.87689,9.44628
"323","Muskox",1,1.069947914,0.727791,1.40383
"324","Muskox",1,1.063428726,0.682384,1.39454
"325","Beaver",3,3.113659,2.13446,4.18503
"326","Beaver",2,2.09064908,1.30882,2.80457
"327","Inconnu",15,15.69504666,10.7221,21.258
"328","Inconnu",15,15.40975886,10.4195,20.0624
"329","Burbot",30,30.0229544,19.4223,39.9718
"330","Hare - Snowshoe",5,5.0431904,3.51645,6.72079
"331","Burbot",5,5.0769067,3.27615,6.63781
"332","Inconnu",7,7.33469592,4.83135,10.3346
"333","Burbot",3,3.11259492,2.10513,4.245
"334","Burbot",15,14.8690922,10.5983,20.1246
"335","Inconnu",5,5.1477572,3.16393,6.83216
"336","Burbot",2,2.07429386,1.39807,2.66245
"337","Burbot",4,4.10745016,2.58084,5.45854
"338","Hare - Snowshoe",8,8.06823024,5.0943,10.7629
"339","Inconnu",3,3.05067742,2.14067,4.06118
"340","Burbot",20,20.0022364,13.4147,26.5128
"341","Inconnu",20,20.357229,13.5187,27.3924
"342","Inconnu",30,30.808661,19.8308,40.9534
"343","Burbot",30,29.746093,20.2745,38.9765
"344","Inconnu",15,15.39020304,10.7302,20.359
"345","Burbot",10,10.0572155,6.60032,13.0468
"346","Pike - Northern",1,1.079628778,0.750213,1.43457
"347","Burbot",20,19.6971964,12.716,25.5711
"348","Inconnu",20,20.43560428,13.8166,27.6165
"349","Inconnu",15,15.51347288,10.7192,21.6675
"350","Burbot",12,12.19920542,7.78464,16.2221
"351","Pike - Northern",5,5.0792458,3.33012,6.75338
"352","Inconnu",12,12.2423899,7.71197,15.9769
"353","Inconnu",3,3.08109368,1.94451,3.97162
"354","Inconnu",1,1.049035592,0.712147,1.41291
"355","Burbot",2,2.06665608,1.36778,2.76628
"356","Inconnu",9,9.25530412,5.86695,12.614
"357","Burbot",4,4.08673548,2.78293,5.4892
"358","Inconnu",2,2.0828183,1.36766,2.83733
"359","Burbot",1,1.050456212,0.741333,1.43392
"360","Pike - Northern",1,1.041528524,0.674093,1.40226
"361","Inconnu",3,3.0981661,2.04822,4.16459
"362","Inconnu",15,15.41575176,9.96835,19.9676
"363","Burbot",40,38.9805854,27.1616,52.614
"364","Burbot",4,4.13247858,2.68175,5.64912
"365","Inconnu",4,4.13895516,2.63303,5.53026
"366","Ptarmigan - Willow",3,3.08541324,2.00229,4.01696
"367","Hare - Snowshoe",2,2.08913964,1.36839,2.70688
"368","Burbot",2,2.07741068,1.49356,2.83027
"369","Inconnu",2,2.084391198,1.35895,2.77947
"370","Inconnu",2,2.07003244,1.32341,2.66496
"371","Pike - Northern",10,9.74579594,6.77861,12.7682
"372","Inconnu",2,2.08417022,1.41272,2.81332
"373","Pike - Northern",2,2.08046796,1.38472,2.74723
"374","Burbot",1,1.04265148,0.68571,1.39807
"375","Inconnu",4,4.10770632,2.79152,5.4187
"376","Pike - Northern",2,2.07183682,1.47064,2.81773
"377","Burbot",8,8.05095722,5.29611,10.7381
"378","Inconnu",40,40.0157768,27.2791,52.2682
"379","Pike - Northern",25,24.2269798,15.7111,32.6069
"380","Burbot",5,5.16698922,3.47191,6.92107
"381","Ptarmigan - Willow",3,3.12019792,2.10952,4.266
"382","Pike - Northern",3,3.07359804,1.95572,4.04158
"383","Burbot",5,5.1050823,3.26332,6.62676
"384","Pike - Northern",1,1.058917756,0.690566,1.376
"385","Inconnu",250,246.281756,156.969,323.615
"386","Inconnu",4,4.11485222,2.80604,5.35952
"387","Inconnu",250,248.77507,161.006,325.178
"388","Inconnu",4,4.17105116,2.7928,5.37948
"389","Inconnu",20,20.352036,13.4281,26.9726
"390","Pike - Northern",6,6.09025664,4.19566,8.24685
"391","Pike - Northern",3,3.10754468,2.13427,4.10909
"392","Inconnu",3,3.1399704,1.90068,4.04803
"393","Burbot",1,1.04766991,0.710138,1.37892
"394","Inconnu",20,20.3443496,13.1796,27.5503
"395","Inconnu",6,6.25204458,4.0118,8.11073
"396","Burbot",6,6.1977199,3.82434,8.14517
"397","Burbot",8,8.12585748,5.56027,10.9702
"398","Inconnu",14,14.18211892,9.33564,19.1959
"399","Pike - Northern",5,5.07800146,3.54789,6.88701
"400","Inconnu",4,4.16446494,2.75891,5.5563
"401","Pike - Northern",3,3.10450002,2.12384,4.07065
"402","Pike - Northern",3,3.10801744,2.23522,4.28333
"403","Ptarmigan - Willow",9,9.04280452,6.0811,11.7884
"404","Hare - Snowshoe",3,3.06114012,1.9491,3.93515
"405","Inconnu",21,21.5087972,13.4178,28.2346
"406","Pike - Northern",4,4.08455654,2.53892,5.13107
"407","Pike - Northern",4,4.0745847,2.59281,5.41409
"408","Inconnu",1,1.049757798,0.667245,1.36226
"409","Inconnu",5,5.06829628,3.45736,6.67499
"410","Inconnu",15,15.0844755,10.4464,19.6938
"411","Pike - Northern",6,5.99297734,4.08306,8.18734
"412","Inconnu",20,20.4278974,14.1069,27.0043
"413","Pike - Northern",6,5.98550906,4.03399,7.73554
"414","Hare - Snowshoe",20,19.58510616,13.2184,26.1608
"415","Ptarmigan - Willow",15,15.0219589,9.72903,19.8026
"416","Inconnu",3,3.12416762,2.1312,4.16665
"417","Inconnu",3,3.11553464,1.95256,3.9419
"418","Moose",1,1.047949516,0.690867,1.35311
"419","Moose",1,1.043367888,0.710041,1.3608
"420","Pike - Northern",1,1.061913014,0.669887,1.40961
"421","Inconnu",10,10.16706274,6.92107,13.7856
"422","Hare - Snowshoe",2,2.087177996,1.43588,3.00494
"423","Inconnu",3,3.06934032,2.0908,4.18538
"424","Burbot",6,6.02548532,4.28078,8.2493
"425","Inconnu",7,7.1970725,4.65062,9.22896
"426","Inconnu",15,15.31073968,10.6105,20.2463
"427","Inconnu",20,20.402193,13.6847,27.5618
"428","Inconnu",1,1.038686998,0.727882,1.39676
"429","Inconnu",20,20.312097,13.6508,26.7094
"430","Inconnu",1,1.053054362,0.659258,1.41071
"431","Inconnu",1,1.041012244,0.721847,1.40329
"432","Ptarmigan - Willow",20,19.82488206,12.8258,26.2762
"433","Ptarmigan - Willow",3,3.11178836,2.01779,4.1434
"434","Beaver",3,3.07717518,2.0083,3.98271
"435","Hare - Snowshoe",-1,8.391957852,0.215036,18.2054
"436","Moose",2,1.792980412,1.15735,2.28829
"437","Hare - Snowshoe",60,58.5269866,40.4783,77.6978
"438","Muskrat",30,30.3291102,19.4897,40.2031
"439","Trout - Lake",20,19.8270596,13.357,26.2443
"440","Muskrat",4,4.23310602,2.58315,5.64127
"441","Trout - Lake",1,1.04841092,0.696284,1.37088
"442","Trout - Lake",6,6.13870378,3.9104,7.92882
"443","Caribou - Peary",4,3.9588375,2.64159,5.13687
"444","Caribou - Peary",3,3.05044618,1.90494,4.00835
"445","Moose",1,1.035857588,0.700843,1.30362
"446","Trout - Lake",11,11.22940308,7.35979,15.1867
"447","Moose",1,1.027873994,0.686233,1.36047
"448","Trout - Lake",15,15.1618508,9.336,19.3739
"449","Hare - Snowshoe",3,3.06952548,1.95896,4.02892
"450","Caribou - Peary",1,1.058026844,0.717153,1.39108
"451","Caribou - Peary",14,13.0892667,8.4994,16.896
"452","Hare - Snowshoe",25,24.8182212,17.1083,33.1706
"453","Muskrat",3,3.15136536,1.98827,4.11311
"454","Hare - Snowshoe",3,3.07076488,2.05662,4.17112
"455","Hare - Snowshoe",3,3.10509646,2.1589,4.31423
"456","Hare - Snowshoe",4,4.04449562,2.81535,5.61671
"457","Hare - Snowshoe",9,9.08738568,6.12653,12.4965
"458","Hare - Snowshoe",5,5.0806765,3.43927,6.68079
"459","Inconnu",2,2.09076878,1.36167,2.77808
"460","Trout - Lake",6,6.2656303,4.11749,8.35285
"461","Hare - Snowshoe",3,3.07788704,2.0999,4.09318
"462","Inconnu",10,10.22034608,6.84092,13.3219
"463","Burbot",6,6.1100017,4.15525,8.07941
"464","Char - Dolly Varden",15,15.06408626,10.1586,20.0932
"465","Herring - Pacific",5,5.12336436,3.45444,6.82398
"466","Inconnu",4,4.11826148,2.54942,5.41946
"467","Pike - Northern",2,2.04433428,1.41228,2.73166
"468","Trout - Lake",6,6.12149318,3.75966,8.01601
"469","Trout - Lake",20,20.4268372,13.7047,26.4294
"470","Hare - Snowshoe",8,8.02369464,5.47673,10.6425
"471","Hare - Snowshoe",20,19.6574312,12.2895,25.5888
"472","Goose - Snow",17,17.313476,12,22.9843
"473","Hare - Snowshoe",5,5.07176044,3.49529,6.87905
"474","Trout - Lake",41,40.8215914,27.3956,56.7007
"475","Goose - Snow",4,4.16248068,2.72656,5.42365
"476","Goose - Greater White",11,11.21173914,7.55967,15.1392
"477","Goose - Greater White",1,1.05708483,0.677795,1.37533
"478","Muskrat",14,14.25094608,9.66119,18.9234
"479","Beaver",1,1.060234678,0.675614,1.43706
"480","Goose - Snow",2,2.09413952,1.41541,2.8673
"481","Teal",1,1.04478293,0.715311,1.41015
"482","Muskrat",25,25.452812,16.552,33.5662
"483","Mallard",2,2.06534278,1.38824,2.75632
"484","Duck - Unknown",8,8.10588584,5.44418,10.7842
"485","Teal",2,2.08601656,1.38558,2.74205
"486","Goose - Snow",1,1.067406856,0.748611,1.40196
"487","Goose - Greater White",3,3.1221176,2.05011,4.22156
